预期字段名,xml映射字段,数据类型,字段描述,有效性规则,可空,模块
document_number,business:BibliographicData/business:PublicationReference[@dataFormat='original']/base:DocumentID → WIPOST3Code+DocNumber+Kind；回退 standard/original 或根 @country+@docNumber+@kind,string,文件号（包含所有公开/公告阶段的专利文件编号（如公开号、专利号）。）,非空；同一局内唯一；保留原始格式,否*,著录信息
document_kind_text,business:BibliographicData/business:SpecificBibliographicData/business:OriginalKindCode,string,文件种类文字描述,与 13 一致,否*,著录信息
document_kind_code,PublicationReference(original)/base:DocumentID/base:Kind；回退根 @kind,string,ST.16 文件种类代码,必须是合法 ST.16 代码，可选值A1、B、U、S、A、B1、B2,否*,著录信息
document_status_code,business:Abstract/@status；回退根 @status,string,数据版本状态标识,"不改变专利本身的法律效力，仅反映数据文件的版本可靠性。例如： 
A：原始首次发布的数据； 
C：因内容错误（如印刷错误、技术描述修正）发布的更正版数据； 
D：数据已废弃（通常因重大错误）。",,著录信息
document_wipo_country_code,PublicationReference(original)/base:DocumentID/base:WIPOST3Code；回退根 @country,string,ST.3,,是,著录信息
publication_date,PublicationReference/base:DocumentID/base:Date（优先 dataFormat=standard/original）；回退根 @datePublication,string,,,,著录信息
publication_language,根 @lang,string,公开语言,ISO 639 两位语言码,是,著录信息
publication_office_code,PublicationReference/@sourceDB 或 DocumentID/WIPOST3Code；回退根 @country,string,公布局/组织代码,ST.3 两位代码或官方组织标识,条件否**,著录信息
correction_info,business:BibliographicData/business:PublicAvailabilityDate/business:GrantTerms/business:Disclaimer/base:Text,object,更正/勘误信息,结构需符合 ST.50,是,著录信息
invention_title,business:BibliographicData/business:InventionTitle[@lang=publication_language],string,发明名称,非空；建议长度限制,否*,技术信息
ipc,business:ClassificationIPC/business:MainClassification|FurtherClassification[@dataFormat='original'],list[string],IPC(国际专利分类),必须是合法分类符号,是*,技术信息
ipc_text,business:ClassificationIPC/base:Text（按行拆分）,list[string],,,,技术信息
ipc_edition_statement,business:ClassificationIPC/base:EditionStatement,string,IPC版本号,,,技术信息
ipcr_classifications,business:ClassificationIPCRDetails/business:ClassificationIPCR/*,list[object],IPCR（改革后 IPC 分类详细信息）,建议每项包含 classification_symbol、classification_version_date、classification_level、classification_value、action_date 等结构化信息；保留原始分类号,是,技术信息
patent_national_classifications,business:ClassificationNational/business:MainClassification[@dataFormat='original'],list[string],国家专利分类号,保留原始格式；建议记录分类体系来源或国家/地区代码,是,技术信息
patent_domestic_classifications,business:ClassificationDomestic|DomesticClassification|DomesticPatentClassification/business:MainClassification,list[string],国内/本国专利分类号,保留原始格式；适用于局内自有分类体系,是,技术信息
patent_fi_classifications,business:ClassificationFI|FIClassification|ClassificationFIData/business:MainClassification|base:Text,list[string],FI 分类号,保留原始格式；适用于日本 FI 分类体系,是,技术信息
patent_cpc_classifications,business:PatentClassificationDetails/business:PatentClassification[business:ClassificationScheme/@scheme='CPC']；SearchField 下同类节点,list[string],CPC（合作专利分类）分类号,必须是合法 CPC 分类符号；保留原始格式,是,技术信息
patent_locarno_classes,business:ClassificationLocarno/business:MainClassification,list[string],Locarno Classification工业外观分类号,,是,技术信息
prior_art_references,business:ReferencesCited/business:Citation/business:ApplicationCitation/business:PublicationReference,list[object],对比文件/现有技术文献,每项建议含 citation_text、doc_number、category,是,技术信息
search_field,business:SearchField/business:ClassificationNational；PatentClassificationDetails,list[string],检索领域/检索分类,与分类体系一致,是,技术信息
,,,,,,技术信息
abstract,business:Abstract/base:Paragraphs,string,摘要全文,非结构化文本,是,全文内容
description,business:Description/business:Heading|base:Paragraphs|base:Image（递归 business 子节）,list[object],说明书全文,非结构化文本,是,全文内容
claims,business:Claims/business:Claim/business:ClaimText,list[object],权利要求项,每项至少含 claim_id+claim_num+claim_text,是,全文内容
drawings,business:Drawings/base:Figure/base:Image,list[object],附图信息,每项至少含 figure_id+image_file；可带 width/height/orientation,是,全文内容
chemistry,//Chemistry|business:ChemistrySection|ChemicalFormulae|ChemicalFormula 内 Chemistry/base:Image,list[object],化学相关专利独有的item信息,,是,全文内容
content,根下 Abstract+Description+Drawings+Claims 按文档顺序拼接（标题用 invention_title）,string,处理后专利全文,,是,全文内容
applicants,business:Parties/business:ApplicantDetails/business:Applicant/base:AddressBook,list[object],申请人,每项至少 name；建议带 country,条件否**,当事人
assignees,business:Parties/business:AssigneeDetails/business:Assignee/base:AddressBook,list[object],专利权人/所有人,每项至少 name,条件否**,当事人
inventors,business:Parties/business:InventorDetails/business:Inventor/base:AddressBook,list[object],发明人,已知即填；每项至少 name,是,当事人
designers,business:Parties/business:DesignerDetails/business:Designer/base:AddressBook,list[object],设计人,,是,当事人
patent_agents,business:Parties/business:AgentDetails/business:Agent|business:AgentDetails/business:Agent/business:Agency,list[object],代理人,每项至少 name,是,当事人
patent_agency,business:AgentDetails/business:PatentAgency/base:AddressBook；business:CustomerNumber,list[object],代理机构,,是,当事人
priority_numbers,business:PriorityClaim/base:DocumentID/base:DocNumber,list[string],优先权申请号,至少 1 个；格式按 ST.10/C、ST.34,否*,优先权
priority_filing_dates,business:PriorityClaim/base:DocumentID/base:Date,array<date>,优先权申请日,日期按 ST.2,否*,优先权
priority_office_codes,business:PriorityClaim/base:OfficeCode|business:GeneratingOffice|base:WIPOST3Code,list[string],优先权受理局代码,ST.3 两位代码；PCT 用 WO,否*,优先权
priority_country_codes,business:PriorityClaim/base:DocumentID/base:WIPOST3Code,list[string],区域/国际优先权指定国家代码,ST.3；至少一个缔约方/WTO 成员,是,优先权
public_availability_group,business:PublicAvailabilityDate/*（未映射到具名字段的子节点日期）,object,公开/公告日期分组,仅作容器,是,公开/公告/授权时间
